dl1,dl2,dl3,x_pcc,y_pcc,z_pcc,x_real,y_real,z_real,dx,dy,dz
5.600368,2.709166,0.0,-17.011879,30.785341,102.104978,-24.028415,37.959188,98.480312,-7.016536,7.173847,-3.624666
0.0,3.795649,0.515223,-20.704116,-15.70836,105.793928,-25.353067,-15.206037,102.610141,-4.648951,0.502323,-3.183787
8.949449,0.0,0.0,0.0,59.414771,84.421835,-18.168464,71.167817,62.297702,-18.168464,11.753046,-22.124133
0.0,0.0,8.658542,50.158458,-28.958999,85.982313,64.979583,-35.617761,64.789735,14.821125,-6.658762,-21.192578
8.610808,0.0,0.0,0.0,57.668189,86.234544,-17.248862,71.257828,63.456337,-17.248862,13.589639,-22.778208
0.0,8.383499,0.0,-48.898061,-28.231309,87.420601,-67.295634,-20.345645,65.597392,-18.397574,7.885664,-21.823209
1.941839,0.0,0.0,0.0,14.243656,108.760637,-0.268245,17.459619,109.019355,-0.268245,3.215963,0.258718
0.0,0.790145,0.0,-5.025464,-2.901453,109.795651,-4.548808,-1.075442,110.113015,0.476656,1.826011,0.317364
7.088233,0.0,9.9403,58.381499,14.364417,83.652953,70.55297,34.65449,51.175009,12.171471,20.290073,-32.477944
3.47846,0.0,0.0,0.0,25.311869,106.01595,-1.556163,30.794064,104.917709,-1.556163,5.482195,-1.098241
0.006846,0.0,0.0,0.0,0.050203,109.999985,0.674065,1.164079,110.366418,0.674065,1.113876,0.366433
5.847479,0.0,6.461485,40.08834,18.746278,97.062777,48.684011,34.734279,85.711015,8.595672,15.988001,-11.351762
0.0,0.0,6.873043,41.417813,-23.912585,94.630523,53.64876,-29.316936,83.300358,12.230947,-5.40435,-11.330165
0.0,2.544134,9.502777,40.793833,-40.77416,86.225403,48.529793,-54.526144,61.494794,7.735961,-13.751984,-24.730609
0.0,3.402436,0.127445,-20.67113,-12.863337,106.321339,-24.62408,-12.205914,104.48795,-3.95295,0.657424,-1.833389
6.261873,1.891642,0.0,-11.735547,38.082291,99.699445,-20.338843,48.174666,92.254415,-8.603296,10.092376,-7.44503
0.0,0.0,2.864389,18.124738,-10.464322,107.298957,22.043076,-13.126969,108.118235,3.918338,-2.662647,0.819278
6.846576,0.0,0.0,0.0,47.664809,94.74591,-11.937806,59.542132,81.82672,-11.937806,11.877323,-12.91919
8.894505,0.0,0.0,0.0,59.135482,84.719597,-17.849629,73.201263,62.126168,-17.849629,14.065781,-22.59343
8.396017,0.0,5.571382,33.792368,39.292819,91.54821,30.503081,63.020745,71.625518,-3.289287,23.727926,-19.922692
0.0,8.860122,8.103086,-4.49254,-58.119649,85.599339,-25.306308,-72.450098,55.585546,-20.813767,-14.330449,-30.013792
