target_index,method,source_dl1,source_dl2,source_dl3,target_x,target_y,target_z,ik_dl1,ik_dl2,ik_dl3,ik_dl_norm,ik_forward_x,ik_forward_y,ik_forward_z,ik_residual_norm,reached_x,reached_y,reached_z,err_x,err_y,err_z,err_norm,active_tendons,active_set,solver,nfev,success
12,PCC IK,0.0,4.371519188723307,0.0,-27.46166993042118,-15.078198880698862,103.823472589208,0.10750795778043314,4.3885966353736725,0.0,4.3899132552932345,-27.456655362237683,-15.075445560736618,103.80959416223477,0.015011242457987016,-27.57969145739444,-14.374378042509807,103.92130154325494,-0.11802152697325852,0.7038208381890545,0.09782895404694614,0.7203217040657336,1 2,1 2,scipy.least_squares,10,True
12,PCC+NN IK,0.0,4.371519188723307,0.0,-27.46166993042118,-15.078198880698862,103.823472589208,0.00795084323694412,4.3824523647359825,0.0,4.3824595771197,-27.45710101621502,-15.075570489806063,103.81087657208634,0.013654415514314414,-27.53069936852183,-15.058561118327395,103.8019754867395,-0.06902943810064954,0.01963776237146675,-0.02149710246850134,0.07491882573820047,1 2,1 2,scipy.least_squares,27,True
13,PCC IK,0.0,7.002651020022491,3.123666413820411,-24.932578958339615,-35.86508246137105,97.2847741312075,0.0,7.063971488424218,3.0176184551990746,7.681517710090129,-24.969725957684282,-35.91851777359698,97.387739246676,0.1218074183144779,-25.958172286176026,-35.620457151138325,97.02630677606221,-1.025593327836411,0.2446253102327276,-0.2584673551452852,1.085582143453374,2 3,2 3,scipy.least_squares,7,True
13,PCC+NN IK,0.0,7.002651020022491,3.123666413820411,-24.932578958339615,-35.86508246137105,97.2847741312075,0.0,7.006754553147608,3.1086983083215025,7.665416788421599,-24.935147151394663,-35.8687858328484,97.29196767656484,0.00848867897115539,-25.049358521621834,-35.817325254980865,97.2667261444021,-0.11677956328221839,0.047757206390187434,-0.01804798680539932,0.12745174377115628,2 3,2 3,scipy.least_squares,20,True
14,PCC IK,3.874783790301745,0.0,2.883281039302441,18.89595268034295,18.918454979540726,106.07959768183206,4.03789251872549,0.0,2.953712512604947,5.002898519848101,18.779484632168113,18.801848244246173,105.59664979580911,0.5102946184075807,19.322512156954616,19.885265381617256,105.74305158635485,0.42655947661166493,0.9668104020765291,-0.33654609547720327,1.1090259758146102,1 3,1 3,scipy.least_squares,6,True
14,PCC+NN IK,3.874783790301745,0.0,2.883281039302441,18.89595268034295,18.918454979540726,106.07959768183206,3.884317425692674,0.0,2.8828068548842887,4.837199316351105,18.893343359922092,18.915901753273474,106.06847413541132,0.0117072969726033,18.890879818347184,18.991571649694848,106.06350573411724,-0.005072861995767397,0.07311667015412127,-0.016091947714812704,0.07503820469941251,1 3,1 3,scipy.least_squares,20,True
15,PCC IK,0.0,1.397524836093098,1.9990820247510832,4.312401687745214,-12.148481716504184,109.23509433700782,0.0,1.3060968760625122,1.9794526559992904,2.371523111209945,4.299586293115848,-12.112379482293802,108.9923485531442,0.2457501195077101,4.779071870839874,-11.73166919680104,109.2755985145665,0.46667018309466,0.4168125197031447,0.04050417755867386,0.6270201948666346,2 3,2 3,scipy.least_squares,9,True
15,PCC+NN IK,0.0,1.397524836093098,1.9990820247510832,4.312401687745214,-12.148481716504184,109.23509433700782,0.0,1.400857729423254,1.9927820473961255,2.435894633704251,4.315002104571734,-12.15703658568976,109.29064503477208,0.0562656909363975,4.250273472100805,-12.137200723355596,109.23973347526506,-0.0621282156444094,0.011280993148588436,0.004639138257232389,0.06331427634701714,2 3,2 3,scipy.least_squares,23,True
16,PCC IK,0.0,0.0,6.648508565920322,41.53409134847961,-23.19104368599644,95.24788513235262,0.1126361523988775,0.0,6.8494189312463005,6.850344998504998,41.35534090171394,-23.091236273149196,94.95983655441549,0.3533910371384559,42.70760329357724,-23.04528473692473,94.56277579453696,1.17351194509763,0.14575894907170905,-0.6851093378156605,1.366656782547661,1 3,1 3,scipy.least_squares,7,True
16,PCC+NN IK,0.0,0.0,6.648508565920322,41.53409134847961,-23.19104368599644,95.24788513235262,0.0,0.0,6.6548585579847375,6.6548585579847375,41.54381398872639,-23.21974140167707,95.28030492893929,0.044374900894258607,41.56904750399727,-23.211225631794346,95.21916254025058,0.03495615551765496,-0.020181945797904888,-0.0287225921020422,0.04954019622311106,3,3,scipy.least_squares,24,True
